,ar,"هاذا مش منطقي، و موش عادل زادا"
,hr,"Odnosite se prema ovom mjestu s dostojanstvom i poštovanjem koje zaslužuje. Nemojte se šaliti o Holokaustu ili nacistima."
,hr,"Međutim, većina je znakova samo na katalonskom jer je isti zakonom utvrđen kao prvi službeni jezik."
,hr,"Parižani su na glasu kao nepristojni i arogantni egocentrici."
,hr,"Slično, muškarci moraju nositi hlače koje prekrivaju koljena."
,hr,"Ovo je važan način za razlikovanje nekih glagola od objekata."
,hr,"Ova gramatička početnica pomoći će vam da naučite puno o gramatici perzijskog jezika i bolje razumijete fraze."
,hr,"Međutim, ljudi koji znaju nešto španjolskog mogu olako zaključiti da je portugalski dovoljno sličan da ga nije potrebno zasebno učiti."
,hr,"Predmoderne zvjezdarnice danas su najčešće zastarjele i koriste se kao muzeji ili edukativna mjesta."
,hr,"Otkad je čovjek došao na Galapagos, predstavljeni su mnogi sisavci uključujući koze, konje, krave, štakore, mačke i pse."
,id,"Pemain Terbaik Hari Ini ialah Alex Ovechkin dari Washington Capitals."
,id,"Hesperonychus elizabethae adalah spesies dari keluarga Dromaeosauridae dan merupakan sepupu Velociraptor ."
,id,"Nadia, lahir tanggal 17 September 2007 melalui operasi sesar di sebuah klinik bersalin di Aleisk, Rusia, beratnya mencapai 17 pon 1 ons."
,id,"Helikopter menyelamatkan dua belas awak kapal dan satu-satunya cedera yang dialami ialah patah hidung."
,id,"Dia meninggal dunia pada hari Selasa di Osaka."
,id,"Tangan manusia lebih pendek daripada kakinya, dengan falanges yang lebih lurus."
,id,"Penduduk asli Greenland menyebut diri mereka Inuit di Kanada dan Kalaalleq (jamaknya Kalaallit), seorang penduduk Greenland, di Greenland."
,id,"Moose (yang juga dikenal sebagai elk) sebenarnya tak agresif tetapi akan mempertahankan diri apabila melihat ancaman."
,id,"Sajian Hangi dimasak di dalam lubang panas yang dibuat di dalam tanah."
,id,"Penyakit dibawa oleh babi, kemudian berpindah ke manusia lewat nyamuk."
,id,"Ia kemudian dipindahkan ke Rumah Sakit Addenbrooke di Cambridge."
,id,"Rekan-rekan pegulat pun memberikan penghormatan kepada Luna."
,id,"Tingkat pH ditunjukkan oleh jumlah ion Hidrogen (H dalam pH) dalam bahan kimia yang diuji."
,id,"Ion hidrogen adalah proton yang elektronnya dilucuti (sebab atom Hidrogen memiliki satu proton dan satu elektron)."
,id,"Mereka dapat melihat dengan jelas di dalam kegelapan dengan kemampuan penglihatan malam, dan juga bergerak dengan sangat senyap. Ocelot berburu mangsanya dengan cara membaur dengan lingkungan sekitar, lalu menyergap mangsanya."
,id,"Tumbuhan membuat makanan mereka dari matahari melalui fotosintesis. Mereka juga memberikan tempat berteduh."
,id,"Mosasaurus merupakan predator puncak di masanya sehingga ia tidak takut apa pun kecuali sesama mosasaurus."
,id,"Tidak ada hutan besar di Tanah Kanaan, itu sebabnya harga kayu sangat mahal."
,id,"Buddhisme Tibet memakai landasan ajaran Buddha, tetapi kemudian memperluasnya dengan tumpuan kasih mahayana dan dengan banyak teknik dari Yoga India."
,id,"Telah diterima pandangan Aristoteles terhadap semua masalah sains, termasuk psikologi."
,id,"Untuk mendapatkan pemandangan Hong Kong yang terbaik, tinggalkan pulau itu lalu pergilah ke tepi laut Kowloon yang terdapat di seberangnya."
,id,"Hutan bukan hanya sekadar rawa bakau â€” melainkan termasuk juga beberapa pohon yang masih berdiri di hutan besar yang pernah menutupi dataran Gangga."
,id,"Taman nasional Danau Plitvice mempunyai hutan yang lebat, terutama dipenuhi pohon beech, cemara, dan fir, serta menampilkan perpaduan vegetasi Alpin dan Mediterania."
,it,"Non serve per forza uno yacht per gli arcipelaghi e i laghi."
,kk,"Back in May, a signal consistent with that of a radio beacon was detected in the area, but nothing turned up that helped with the search."
,ln,"Laksha Singh alakisaki T Chappan Bhog Bhajan S Good. Moyembi Raju Khandelwal ayembaki elongo na ye."
,lb,"Ugeklot waren de Baba Kanjar, de Bhutha Kanjar, de Rampro Kanjar, de Gaza Kanjar an de Vishnu Kanjar."
,lg,"Wakati wa 1000- 11:00 ezakawungeezi MDT, omuliro gwabaluseewo ngaguva ku basula mu yaadi."
,lg,"Mubidiba ne munyanja teweetaga ryaato."
,mk,"Мартели вчера прими заклетва за нова деветчлена Привремена изборна комисија (СЕР)."
,ny,"Anapanga belu la WiFi, anatelo."
,ny,"Choncho, wicket ya kaputeni itatayika, India idakwanitsa kuchidachita ma run 36 kutayaso ma wicket 7 kuti amalize ma inning."
,ny,"Matendawa adaoneka koyamba mu Julayi."
,ny,"Lakkha Singh adaimiliranso chhappan bhog bhajan.Woyimba , Raju Khandelwal anamuperekezanso."
,ny,"Moyo wambiri wa mabanja achi Heberi unali wapa ntetete."
,oc,"La recerca en IA implica fabricar de maquinas per automatizar de tascas que demandan un comportament intelligent."
,oc,"Vos cal pensar a l’itinerari d'esquí coma a un itinerari similar d’excursion."
,oc,"Eth rècord de Nadal contra eth canadenc ei de 7-2."
,oc,"A perdut recentament contra Raonic en Open de Brisbane."
,oc,"Alex Ovechkin, des Washington Capitals, ei eth jogador deth dia e deth moment."
,oc,"Era prumèra assisténcia dera net d'Ovechkin siguec damb eth gòl guanhador deth jòc deth nauèth Nicklas Backstrom;"
,oc,"Ena audiéncia tanben se fixe era data deth judici rapid ath quau a dret eth sospitós."
,oc,"Er “Hesperonychus elizabethae” ei ua espècia dera familha “Dromaeosauridae”, e ei  cosin deth Velociraptor."
,oc,"Johnson ei dusau damb 2243, sèt punts darrèr deth sòn opausant."
,oc,"Eth vaishèth, ua nau antimines de classa Avenger, se dirigie a Puerto Princesa, en Palawan."
,oc,"Siguec nomentat Superintendent nacionau der an en 2009."
,oc,"Laguens der apartament non i auie arrés."
,oc,"Amir Khan, guanhador dera medalha de plata en 2004, didec: «En hons creigui qu'es hemnes non aurien de lutar. Aguesta ei era mia opinion»."
,oc,"Escriuec un libre autobiografic en 1998."
,oc,"Moric eth dimars en Osaka."
,oc,"Siguec escuelhut eth milhor fotbolista dera istòria deth Partizan en 1995."
,oc,"Zayat gessec indemne der accident."
,oc,"Sejong siguec eth quatau monarca dera dinastia Joseon e ei un des mès respectadi."
,oc,"Òc! Un des reis mès coneishudi der ancian Egipte en mon modèrn ei eth rei Tutankamon, a viatges cridat «Rei Tut» o «eth Rei Mainatge»."
,oc,"Era sua basa siguec er alfabet alemanh e s'incorporèc eth caractèr: «Õ/ õ»."
,oc,"Damb eth transcors deth temps, fòrça mots prenudi der alemanh se fusionèren. Açò merquèc er inici dera illustracion."
,oc,"Era civilizacion floric ena conca der arriu Indus, deth quau ne derive eth nòm."
,oc,"Eth generau James Ewing evitarie era fuga des tropes enemigues en tot préner eth pònt sus er Assunpink Creek e en tot guidar a 700 soldats a trauès der arriu en Trenton Ferry."
,oc,"Presente era madeisha estructura moleculara, sigue en estat liquid, solid o gasós."
,oc,"Eth clima heired ei, possiblament, er unic vertadèr perilh damb eth quau pòden auer de bregar es pòc premanidi."
,oc,"En extrem superior, es B&B competissen, sustot, en dus servicis: eth lhet e er esdejoar."
,oc,"Dilhèu descorbisses ua beguda entar esdejoar facil de premanir entà quan tornes ara tua rotina abituau."
,oc,"Eth Districte deth Canau (en neerlandés, Grachtengordel), en Amsterdam, ei eth popular barri deth sègle XVII que se desplegue ath torn de Binnenstad."
,oc,"Formen part deth listrat des Patrimònis dera Umanitat dera Unesco."
,oc,"Eth didec qu‘auie bastit un timbre Wifi."
,oc,"Li dèc era benvenguda eth viceprumèr ministre de Singapor, Wong Kan Seng, e debatec ahèrs comerciaus e de terrorisme damb eth prumèr ministre, Lee Hsien Loong."
,oc,"Includit en libre Guinness des rècords mondiaus, eth sòn sagèth numèro 1.000 siguec eth magnific «Great Deeds by Swedish Kings» (David Klöcker Ehrenstrahl, an 2000)."
,oc,"Retirèren eth veïcul deth lòc deth sinistre tath torn des 12:00 GMT deth madeish dia."
,oc,"Damb eth bastiment dera restanca en 1963, se frenèren es inondacions sasoères que deishauen sediments ath long der arriu."
,oc,"Amièren ath fotograf ath Centre Medicau Ronald Reagan, UCLA, a on moric mès tard."
,oc,"Eth programa comencèc tàs 8:30 p.m. ora locau (15:00 UTC)."
,oc,"Eth cantaire Sanju Sharma siguec qui inaugurèc er eveniment e li seguic Jai Shankar Choudhary. Tanben interpretèc eth chhappan bhog bhajan, ath costat deth cantaire Raju Khandelwal."
,oc,"Ath delà, Lakkha Singh presentèc eth bhajan deth chhappan bhog ath costat deth cantaire Raju Khandekwak."
,oc,"Eth dijaus, ena presentacion inaugurau deth Tòquio Game Show, Satoru Iwata, president de Nintendo, hec a conéisher eth dessenh deth comandament dera naua consòla Nintendo Revolution lançada pera companhia."
,oc,"Eth fiscau generau, Kier Starmer QC, hec ua declaracion aguest maitin en tot anonciar eth processament de Huhne e Pryce."
,oc,"Baba, Bhutha, Rampro, Gaza e Vishnu Kanjar son es acusadi."
,oc,"Segontes manifestèc eth superintendent dera policia, Chandra Shekhar Solanki, es acusadi se presentèren deuant deth tribunau damb eth ròstre caperat."
,oc,"Dempús siguec trasladat ar Espitau Addenbrooke, en Cambridge."
,oc,"Ei eth cincau CEP de Martelly en quate ans."
,oc,"Barrejatz andús povassi shuti amassa e, dempús de hè'c, damb es mans netes e umides, exprimitz-les enquia formar ua bòla."
,oc,"Eth tigre ei deth madeish grop (genre Pantera) qu'es leons, leopards e jaguars. Aguesti son es unics quate felins que pòden rugir."
,oc,"En clima caud deth Mejan Orient, er abitatge non ère tan important."
,oc,"Machu Picchu compde damb tres bastiments principaus: er Intihuatana, eth Temple deth Solei e era Cramba des Tres Hièstres."
,oc,"Iniciaument, era vestimenta arrecebec ua grana influéncia dera cultura bizantina en orient."
,oc,"Se considèren metaus es elements coma eth calci e eth potassi. Clarament, tanben existissen d’auti metaus coma er aur e er argent."
,oc,"Es cataractes deth Niagara se tròben mès ath sud e eth nòrd lòtge ara beresa naturau vèrge de Muskoka e mès enlà."
,oc,"Era region limite damb eth Sahel ath nòrd, e damb er Ocean Atlantic ath sud e ar oèst."
,oc,"Goma ei un punt toristic dera Republica Democratica deth Còngo, en limit orientau, apròp de Rwanda."
,oc,"Quauqui hestivaus compden damb airaus especiaus d'acampada, destinadi a familhes damb hilhs petiti."
,oc,"Ellsworth Land ei era region sud dera Peninsula, limitada  pera mar de Bellingshausen."
,pt,"Ny Alatsinainy, ny siantifika avy amin’ny Sekolin’ny Mpitsabo amin’ny Oniversiten’ny Stanforda dia nanambara ny famoronana fitaovana fitiliana vaovao izay afaka manavaka ny sela isan-tsokajiny: singa kely azo atao pitinty izay azo amboarina raha mampiasa fanaovana pirinty misy ranomainty tsotra mety ho iray santima amerikana."
,pt,"Ireo mpitarika ny fikarohana dia milaza fa mety hanampy amin’ny fitiliana mialoha ny homamiadana, ny raboka, ny VIH sy ny tazomoka mahazo ny marary any amin’ny firenena mahantra izany, izay ny tahan’ny fahavelomana amin’ny aretina tahaka ny homamiadan’ny nono any dia antsasaky ny any amin’ny firenena manan-karena."
,pt,"Nianjera tamin’ny lalam-piaramanidina ny JAS 39C Gripen tokony ho tamin'ny 9:30 maraina ora tany an-toerana (0230 UTC) ka nipoaka, ary nahatonga ny seranampiaramanidina nanidy ireo sidina ara-barotra."
,pt,"Ilay mpanamory dia fantatra ho ilay lehiben'andiana fiaramanidina mpiady, Dilokrit Pattavee."
,pt,"Mitatitra ny fampitam-baovao ao an-toerana fa nisy fiara iray mpamono afo tao amin’ny seranampiaramanidina nivadika teo am-pamaliana."
,pt,"Niditra tao amin’ny Barça i Vidal, 28 taona, taom-pilalaovana telo teo aloha, avy ao amin'ny Sevilla."
,pt,"Hatramin’ny nifindrana tao amin’ny renivohitry ny Katalana dia nilalao kilalao 49 ho an’i klioba i Vidal."
,pt,"Nanaomboka teo ho eo amin’ny 11 ora amin’ny ora eo an-toerana (UTC+1) teo ny fanoherana teo amin’ny Whitehall mifanohitra amin’ny varavarana andrasan’ny polisy ao amin’ny làlana Downing, izay fonenana ofisialin’ny praiministra."
,pt,"Fotoana fohy taorian’ny 11 ora dia nobahanan’ireo mpanohitra ny lalan’ny fiara mianavaratra any Whitehall."
,pt,"Tamin’ny 11:20, nangataka ireo mpanao fihetsiketsehana ny pôlisy mba hiakatra amin’ny toerana fandehanan’ny mpandeha tongotra, nilaza fa tsy maintsy ampifandajana ny fahafahana maneho hevitra sy ny fizotran’ny fifamoivozana."
,pt,"Tamin’ny 11:29 teo ho eo, niakatra ny Whitehall ny mpanohitra, nandalo ny Kianja Trafalgar, nanjohy ny Strand, nandalo ny Aldwych ary niakatra ny Kingsway ho any Holborn tao amin’ny toerana nisy ny Spring Forum nataon’ny Antoko Mpandala ny Nentin-drazana tao amin’ny hôtely Grand Connaught Rooms."
,pt,"7-2 ny tsara indrindra vitan'i Nadal tamin'ny fifanandrinany tamin'ilay Kanadianina."
,pt,"Vao resin’i Raonic vao haingana izy tamin’ny Brisbane Open."
,pt,"Nahazo ny 88 %-n'ny isa nanakaiky harato i Nadal nandritra ny lalao, nahazoany 76 isa nandritra ny servisy voalohany."
,pt,"Tao aorinan’ny lalao, Nilaza i King of Clay hoe ”Faly aho fa tafaverina amin’ny dingana famaranana amin’ny hetsika faran’izay manan-danja. Eto aho mba handresy amin’izany.“"
,pt,"Ny hoe “Panama Papers” dia teny noforonina enti-milaza antontan-taratasy mitetina eo amin’ny folo tapitrisa eo an’ny kabinetram-pisolo vava panamianina Mossack Fonseca, izay navoaka tamin’ny gazety nandritran’ny lohataona 2016."
,pt,"Nasehon’ireo antontantaratasy fa banky efatra ambin’ny folo no nanampy mpanjifa manankarena hanafina harena amina dolara Amerikana an-davitrisa hialana amin’ny hetra sy lalàna hafa."
,pt,"Nilaza ny gazety britanika The Guardian fa mifehy ny ampahatelon’ireo orinasa sarintsariny miisa 1.200 nampiasaina hanatontosana izao ny Deutsche Bank."
,pt,"Nisy hetsipanoherana maneran-tany, fanenjehana heloka bevava maro, ary samy nametra-pialàna ireo mpitarika ny governemantan’i Islandy sy Pakistàna."
,pt,"Teraka tao Hong Kong, nianatra tao amin’ny Anjerimanontolon’i New York sy ny Harvard Law School i Ma ary indray mandeha dia efa nahazo “karatra maitso” maha-mponina amerikanina maharitra azy."
,pt,"Nilaza i Hsieh nandritra ny fifidianana fa mety hitsoaka ny firenena i Ma mandritra ny fotoanan’ny krizy."
,pt,"Nandroso ihany koa i Hsieh fa mihaingo ambony tsikoko ilay Ma manintona anaty sary."
,pt,"Na dia teo ary ny fanendrikendrehana, nandresy mora foana I Ma tao aminà sehatra iray nanandratra ny fifanakaikezana amin’I Sina tanibe."
,pt,"Ny mpilalao mendrika androany dia i Alex Ovechkin avy ao amin’ny Washington Capitals."
,pt,"Nampiditra baolina 2 ary nanampy namono baolina in-2 izy tamin’ny nandresen’i Washington 5-3 an’i Atlanta Trashers."
,pt,"Ny fanampian'i Ovechkin voalohany tamin'io alina io dia nandritra ny baolina tafiditry ny mpilalao vaovao Nicklas Backstrom ka nibatàna fandresena;"
,pt,"ny isany faharoa tamin’ity alina ity no faha-60 azony tanatin’ny taom-pilalaovana, nahatonga azy ho mpilalao voalohany hahazo isa 60 na mihoatra anaty taom-pilalaovana iray hatramin’ny 1995-96, izay nahatratraran’i Jaromir Jagr sy Mario Lemieux avy an’izany dingana izany."
,pt,"I Batten no voalahatra ho faha-190 tamin’ireo Amerikanina 400 Mpanan-karena Indrindra tamin’ny 2008 izay notombanana ho $2,3 lavitrisa ny fananany."
,pt,"Nivoaka avy tamin’ny sekoly ambony Kolejin’ny Ara &amp; Siansa tao amin’nyOniversite Virginia tamin’ny 1950 izy ary lasa mpanolotra lehibe tao amin’io toerana io."
,pt,"Nodorana ny fonja Abu Ghraib an’i Iràka nandritra ny rotaka iray."
,pt,"Nampalaza ny fonja ny fanararaotan-gadra tsikaritra taorian’ny nakan’i tafika amerikana ny fahefana."
,pt,"Nanao lozam-piarakodia i Picket Jr. Nandritra ny Grad Prix taorian’ny fijanonan’ny Fernando Alonso, nampivoaka ny fiara fiarovana."
,pt,"Rehefa naka lasantsy tao ambanin’ny fiara fiarovana ireo fiara teo alohan’i Alonso dia nosongonany ireo andiana mpifaninana mba hibatana ny fandresena."
,pt,"Piquet Jr dia voaroaka tao aorian’ny Hungarian Grand Prix tamin’ny taona 2009."
,pt,"Tamin’ny 8:46 maraina katroka, nisy fahanginana nitoetra manerana ny tanàna, nanamarika ny fotoana nandonan’ilay fiaramanidina voalohany izay nokendreny."
,pt,"Tara-pahazavana anankiroa no nampiakarina mba hanondro ny lanitra mandritry ny alina."
,pt,"Mandeha ny fanamboarana ho an’ny tranobe manaka-danitra dimy vaovao eo amin’ilay toerana, miaraka amin'ny ivon-toerana fitaterana sy vala fahatsiarovana eo ampovoany."
,pt,"Nahazo Emmy Awards mihoatra ny 24 ny PBS, ary fohy kokoa noho ny Sesame Street sy ny Mister Rogers’ Neighborhood izy io."
,pt,"Ny fizarana tsirairay amin'ilay fandaharana dia mifantoka amina lohahevitra ao anaty boky iray manokana ary mijery izany lohahevitra izany amin’ny alalan’ny tantara maro."
,pt,"Ny fampisehoana rehetra dia manoro ihany koa ireo boky izay tokony hojeren’ny ankizy rehefa mankany amin’ny tranom-boky."
,pt,"Nilaza i John Grant, avy ao amin’i WNED Buffalo (foiben’ny Reading Rainbow) fa “nampianatra ny ankizy ny antony amakiana teny ny Reading Rainbow, ... ny fitiavana mamaky teny - nampirisika ny ankizy haka boky sy hamaky [ilay fandaharana].”"
,pt,"Misy sasany mino, anisan’izany i John Grant, fa samy nahatonga ny famaranana ilay tantara mitohy ny olana teo amin'ny famatsiam-bola sy ny fiovàn'ny filôzôfian'ireo fandaharana amin'ny fahitalavitra fanabeazana."
,pt,"Tokony hisavasava aloha ilay rivodoza any amin’ny 645 miles (1040 km) andrefan’ny nosy Cape Verde mialohan’ny andrahonan’ny ireo faritra, hoy ireo mpaminavina."
,pt,"Manana rivotra hatramin’ny 105 miles isan’ora (165 km isan’ora) i Fred amin’izao ary mikisaka makany avaratra andrefana."
,pt,"Hatreto dia i Fred no rivodoza trôpikaly mahery indrindra azo sary tany atsimo sy atsinanan’ny Atlantika hatramin’ny nisian’ny sary zanabolana, ary izy no rivodoza lehibe fahatelo voarakitra tany atsinanan’ny 35°W."
,pt,"Tamin’ny 24 Septambra 1759 dia nanao sonia fifanekem-panofana mandritra ny 9.000 taona ny Orinasan-dabiera St James’ Gate ao Dublin, Irlandy, i Arthur Guinness."
,pt,"250 taona taty aoriana, Guinness dia lasa orinasa iraisam-pirenena ka mampiasa 10 lavitrisa euros ($14.7 lavitrisa dolara) isan-taona."
,pt,"Nanova ny tantara i Jonny Reid, ilay mpitondra mpanampin’ny ekipan’ny A1GP an’i Nouvelle Zélande, androany satria nahavita namily haingana indrindra teo ambonin’ny tetezana Auckland Harbour Bridge, Nouvelle Zélande, 48 taona, tanaty fanarahan-dalàna tanteraka."
,pt,"Nahavita namily ilay fiara A1GP avy any Novely Zelandy, Black Beauty Atoa Reid, tamin’ny hafainganampandeha mihoatra ny 160 km isan’ora im-pito miandalana teo amin’ny tetezana."
,pt,"Sahirana ny polisy tao Nouvelle Zélande nampiasa ireo radara hahitana ny hafainganam-pandehan’i Atoa Reid satria ambany loatra ny hafainganan’i Black Beauty, ary ny fotoana tokany nahavitan’izy ireo izany dia rehefa nandeha 160km/ora i Atoa Reid."
,pt,"Nandritran’ny telo volana farany teo, efa ho 80 ireo nosamborina izay navototra avy amin’ny Central Booking facility nefa tsy nisy fiampangana voasoratra."
,pt,"Tamin’ny volana Avrilin’ity taona ity dia namoaka didy vonjimaika famerana ilay toerana ny Mpitsara Glynn mba hampiharana ny famoahana an’ireo olona voatazona mihoatra ny 24 ora taorian’ny nampidirana azy kanefa tsy nalain'ny kaomiseran'ny fitsaràna am-bavany."
,pt,"Ny kaomisera dia mametraka ny sazy aloa, raha ekena, ary manoratra amin’ny fomba ofisialy ireo fiampangana nataon’ilay mpitandro nanao ny fisamborana. Soratana ao amin’ny programa informatikan’ny Fanjakana ireo fiampangana ireo avy eo, ary ao no anaraha-maso ny raharaha."
,pt,"Nanamarika ny andron'ny zon'ilay voampanga hahazo fitsaràna haingana ihany koa ny fakàna am-bavany."
,pt,"Nanohana indostria mpamokatra hery nokleary any Aostralia i Peter Costello, Aostralianina mpitambola sady olona eritreretina handimby ny Praiminisitra John Howard ao amin’ny fitarihana ny antoko Liberaly."
,pt,"Nilaza Ingahy Kostelo fa rehefa ahitana tombony azo iainana tsara ny famokarana hery nokleary dia tokony manohy ny fampiasana azy i Aostralia."
,pt,"“Mila manana azy isika, raha lasa ara-barotra io. Midika hoe, tsy misy fanoherana fitsipika amin’ny angovo nokleary” hoy Atoa Costello."
,pt,"Araka ny Ansa : “Nanahiran-tsaina ireo polisy ny famelezana avo lenta vitsivitsy izay natahoran-dry zareo hiteraka adim-pandovana tanteraka."
,pt,"Nanambara ny polisy fa natanjaka kokoa i Lo Piccolo satria izy no tanana an-kavanan’i Provenzano tany Palerma ary ny traikefa be nananany no nahatonga azy najain’ireo lehibe efa zokinjokiny izay nanaraka ny politikan’i Provenzano, dia ny nijanona ho farak’izay ambany no sady nanamafy ny tambazotram-pahefana."
,pt,"Ireo lehibe ireo dia voafehin’ny Provenzano rehefa nofaranany ny ady notarihan’i Riina tamin’ny Fanjakana izay namoizana ny ain’ireo mpiady mafia Giovanni Falcone sy Paolo Borsellino ny taona 1992.”"
,pt,"Sady niakatra an-tsehatra no naneho ilay fitaovana ny Tale Jeneralin'ny Apple, Steve Jobs ary namoaka ilay iPhone avy ao anatin'ny paosin'ny patalohany."
,pt,"Nandritra ny lahateniny naharitra adiny 2 dia nilaza izy fa ”Hanavao ny finday i Apple anio, hanangana ny tantara isika anio“."
,pt,"Brezila no firenena Katolika Romana lehibe indrindra eto an-Tany, ary ny Fiangonana Katolika Romana dia nanohitra hatrany ny fanaovana ho ara-dalàna ny fanambadian’ny olona mitovy fananahana tao amin’ny firenena."
,pt,"Ny Kongresy Nasionalin’i Brezila dia niady hevitra ny fanaovana izany ho ara-dalàna nandritry ny 10 taona, ary ny mariazy sivily tahaka izany dia ara-dalàna any Rio Grande do Sul ihany."
,pt,"Ilay vinavinan-dalàna tamin’ny voalohany dia nosoratan’ny ben’ny tanàn’i São Paulo teo aloha Marta Suplicy. Rehefa namboarina ilay vinavinan-dalàna dia eo am-pelatanan’i Roberto Jefferson izy amin’izao."
,pt,"Manantena ireo mpitokona fa ahangona fangatahana misy sonia antapitrisa izy ireo izay haseho ny Kaongresy Nasionaly amin’ny Novambra."
,pt,"Rehefa hita fa betsaka ireo fianakaviana nitady fanampiana teo amin’ny lafiny lalàna iadiana amin’ny fandroahana, dia nisy fivoriana natao ny 20 Marsa tao amin’ny Foiben’ny Lalàna ho an’ny Vondrompiarahamonina tao East Bay ho an’ireo niharan’ny fanambakana tamin’ny resaka trano fonenana."
,pt,"Rehefa nanomboka nitantara ny zava-nitranga taminy ireo mpanofa, dia tonga saina ny ankamaroan’ireo ankohonana tafiditra anatin’izany fa hay nangalarin’i Carolyn Wilson avy ao amin’ny OHA ny antoka napetrak’izy ireo ary nitsoaka ivelan’ny faritra izy."
,pt,"Ireo mpanofa ao Lockwood Gardens dia mino fa mbola mety misy ankohonana 40 hafa na mahery ho voahilika, satria henon’izy ireo fa ny polisy OHA dia manadihady tranom-bahoaka hafa ao Oakland izay mety ho voasaringotra anatin'ilay fisolokiana trano."
,pt,"Nofoanan’ny tarika ny fampisehoana tao amin’ny stadin’ny Maui’s War Memorial, izay tokony nahangona olona 9000, ary niala tsiny tamin’ireo mpankafia izy ireo."
,pt,"Ilay orinasa fitantanana ny vondrona, HK Management Inc., dia tsy nanome ilay antony voalohany rehefa nofoanany ny 20 Septambra, fa ny olana ara-pitaovana no nolazainy fa antony ny ampitson’iny."
,pt,"Ilay mpahay lalàna malaza Grika Sakis Kechagioglou sy George Nikolakopoulos dia nigatra tao amin’ny fonjan’Atena ao Korydallus, satria tratra nanao kolikoly."
,pt,"Vokatr’izany, tantara mamohehatra goavana iray tao anatin’ny vondrompiarahamonin’ny fitsarana grika no napoitra tamin’ny alalan’ny famakiana bantsilana ireo fihetsika tsy ara-dalàna nataon’ireo mpitsara sy mpisolo vava ary ny fampanoavana nandritra ireo taona teo aloha."
,pt,"Herinandro vitsy lasa izay, taorian’ny vaovao navoakan’ny mpanaogazety Makis Triantafylopoulos tao amin’ny fandaharany malaza “Zougla” ao amin’ny Alpha TV, dia nanala tena tamin'ny toerany i Petros Mantouvalos, mpikambana ao amin'ny Parlemanta sady mpisolovava, satria voarohirohy amin'ny fanaovana tsolotra sy kolikoly ny mpikambana sasany tao amin'ny kabinetrany."
,pt,"Ambonin’izany, ny mpitsara Fanta-daza Evangelos Kalousis dia voatazona an-tranomaizina rehefa hita fa meloka tamin’ny fanaovana kolikoly sy fitondran-tena tsy mendrika."
,pt,"Nandà ankitsirano ny hiteny ny fotoana inoany fa iantombohan’ny fiainana i Roberts, izay fanontaniana manan-danja raha ny etika momba ny fanalanjaza no resahina, nilaza fa tsy etika ny maneho hevitra momba ny antsipirian’ny tranga tahaka izany."
,pt,"Nohamafisiny indray anefa ny nambarany tamin’ny voalohany fa “lalàna mipetraka ho an’ny firenena” i Roe v. Wade, sady manindry ny mahazava-dehibe ny fanapahan-kevitra mitombona raisin’ny Fitsarana Faratampony."
,pt,"Nanamafy koa izy fa mahatoky ny fanomezana zo miafin’ny tsirairay izay iankinan’ny fanapahan-kevitry ny Roe."
,pt,"Tody teny amin'ny fara-tampony i Maroochydore, isa enina miala an'i Noosa tao amin’ny laharana faharoa."
,pt,"Mety hihaona amin’ny manasa-dalana ny roa tonta izay mety handresen’i Noosa amin’ny isa 11."
,pt,"Avy eo i Maroochydore dia nandresy an’i Caboolture nandritra ny Famaranana Savaranonando."
,pt,"Ny Hesperonychus elizabethae dia karazana iray anatin’ny fianakaviamben’ny Dromaeosauridae ary havana akaikin’ny Velociraptor."
,pt,"Ity vorona mpihaza rakotra volo sy mafana rà ity dia ninoana ho nandeha nijoro tsara tamin’ny tongotra roa nisy hoho tahaka ny Velociraptor."
,pt,"Ny hoho-tanana faharoa dia lehibe, nanome ny anarana Hesperonychus izay midika hoe ”hoho-tanana tandrefana “."
,pt,"Ankoatry ny ranomandry mamotipotika, nanelingelina ny ezaka famonjena koa ny toetrandro faran'izay ratsy."
,pt,"Nilaza i Pittman fa any amin'ny herinandro ambony any vao mety hihatsara ny toetrandro."
,pt,"Ny habetsahana sy hatevenan’ny oram-panala miangona, raha i Pittman, dia ratsy indrindra nandritry ny 15 taona izay raha ho an’ireo mpanidy izany."
,pt,"Niparitaka eo anivon’ny fiarahamonina Red Lake ny vaovao androany rehefa natao ny fandevenana an’i Jeff Weise sy olona telo amin’ireo sivy niharam-boina fa misy mpianatra iray hafa nosamborina mifandray amin’ilay raharaha fitifirana an-tsekoly tamin’ny 21 Marsa."
,pt,"Ny manam-pahefana dia tsy nanambara zavatra ofisialy mihoatra noho ny fanamafisana ny fisamborana natao androany."
,pt,"Kanefa, nisy loharanom-baovao izay nahafantatra ny fisian’ilay fanadihadiana nilaza tamin’ny Star-Tribune tao Minneapolis fa i Louis Jourdain, zanaka lahy 16 taona an’ny filohan’ny foko Red Lake, Floyd Jourdain, ilay izy."
,pt,"Tsy mbola fantatra hatreto na ny antony iampangana azy na ny antony nanosika ireo manampahefana hitazona ity zazalahy ity fa natomboka tao amin'ny fitsaràna federaly ny dingana fitsaràna zaza tsy ampy taona."
,pt,"Nilaza ihany koa i Lodin fa nanapa-kevitra ireo tomponandraikitra ny hanafoana ny fiodinana faharoa mba hialan’ny mponina Afghan amin’ny fandaniana sy tsy filaminana amin’ny fifidianana hafa indray."
